priority,score,company,productName,status,searchUrl
"1","9","삼성생명","삼성 스마트저축보험(2601)(무배당)","수동 다운로드","https://www.google.com/search?q=%EC%82%BC%EC%84%B1%EC%83%9D%EB%AA%85%20%EC%82%BC%EC%84%B1%20%EC%8A%A4%EB%A7%88%ED%8A%B8%EC%A0%80%EC%B6%95%EB%B3%B4%ED%97%98(2601)(%EB%AC%B4%EB%B0%B0%EB%8B%B9)%20%EC%95%BD%EA%B4%80%20PDF"
"2","9","KDB생명","KDB플러스저축보험(무)","수동 다운로드","https://www.google.com/search?q=KDB%EC%83%9D%EB%AA%85%20KDB%ED%94%8C%EB%9F%AC%EC%8A%A4%EC%A0%80%EC%B6%95%EB%B3%B4%ED%97%98(%EB%AC%B4)%20%EC%95%BD%EA%B4%80%20PDF"
"3","9","푸본현대생명","MAX 저축보험 무배당(법인)(2404)","수동 다운로드","https://www.google.com/search?q=%ED%91%B8%EB%B3%B8%ED%98%84%EB%8C%80%EC%83%9D%EB%AA%85%20MAX%20%EC%A0%80%EC%B6%95%EB%B3%B4%ED%97%98%20%EB%AC%B4%EB%B0%B0%EB%8B%B9(%EB%B2%95%EC%9D%B8)(2404)%20%EC%95%BD%EA%B4%80%20PDF"
"4","5","삼성생명","7-1-4","수동 다운로드","https://www.google.com/search?q=%EC%82%BC%EC%84%B1%EC%83%9D%EB%AA%85%207-1-4%20%EC%95%BD%EA%B4%80%20PDF"
"5","5","KDB생명","6-7-9-1","수동 다운로드","https://www.google.com/search?q=KDB%EC%83%9D%EB%AA%85%206-7-9-1%20%EC%95%BD%EA%B4%80%20PDF"
"6","5","삼성생명","4.18","수동 다운로드","https://www.google.com/search?q=%EC%82%BC%EC%84%B1%EC%83%9D%EB%AA%85%204.18%20%EC%95%BD%EA%B4%80%20PDF"
"7","5","푸본현대생명","5.79","수동 다운로드","https://www.google.com/search?q=%ED%91%B8%EB%B3%B8%ED%98%84%EB%8C%80%EC%83%9D%EB%AA%85%205.79%20%EC%95%BD%EA%B4%80%20PDF"
"8","5","푸본현대생명","비대면 온라인 채널 이용자","수동 다운로드","https://www.google.com/search?q=%ED%91%B8%EB%B3%B8%ED%98%84%EB%8C%80%EC%83%9D%EB%AA%85%20%EB%B9%84%EB%8C%80%EB%A9%B4%20%EC%98%A8%EB%9D%BC%EC%9D%B8%20%EC%B1%84%EB%84%90%20%EC%9D%B4%EC%9A%A9%EC%9E%90%20%EC%95%BD%EA%B4%80%20PDF"
"9","5","삼성생명","0.00","수동 다운로드","https://www.google.com/search?q=%EC%82%BC%EC%84%B1%EC%83%9D%EB%AA%85%200.00%20%EC%95%BD%EA%B4%80%20PDF"
"10","5","삼성생명","5.10","수동 다운로드","https://www.google.com/search?q=%EC%82%BC%EC%84%B1%EC%83%9D%EB%AA%85%205.10%20%EC%95%BD%EA%B4%80%20PDF"
"11","4","ABL생명","(무)우리WON인터넷보너스주는저축보험","수동 다운로드","https://www.google.com/search?q=ABL%EC%83%9D%EB%AA%85%20(%EB%AC%B4)%EC%9A%B0%EB%A6%ACWON%EC%9D%B8%ED%84%B0%EB%84%B7%EB%B3%B4%EB%84%88%EC%8A%A4%EC%A3%BC%EB%8A%94%EC%A0%80%EC%B6%95%EB%B3%B4%ED%97%98%20%EC%95%BD%EA%B4%80%20PDF"
"12","4","흥국생명","(무)흥국생명 드림저축보험2407","수동 다운로드","https://www.google.com/search?q=%ED%9D%A5%EA%B5%AD%EC%83%9D%EB%AA%85%20(%EB%AC%B4)%ED%9D%A5%EA%B5%AD%EC%83%9D%EB%AA%85%20%EB%93%9C%EB%A6%BC%EC%A0%80%EC%B6%95%EB%B3%B4%ED%97%982407%20%EC%95%BD%EA%B4%80%20PDF"
